id	prim_cat	sec_cats	title	abstract
0911.5048	q-fin	q-fin.ST q-fin.CP	Resilience of Volatility	"  The problem of non-stationarity in financial markets is discussed and related
to the dynamic nature of price volatility. A new measure is proposed for
estimation of the current asset volatility. A simple and illustrative
explanation is suggested of the emergence of significant serial
autocorrelations in volatility and squared returns. It is shown that when
non-stationarity is eliminated, the autocorrelations substantially reduce and
become statistically insignificant. The causes of non-Gaussian nature of the
probability of returns distribution are considered. For both stock and currency
markets data samples, it is shown that removing the non-stationary component
substantially reduces the kurtosis of distribution, bringing it closer to the
Gaussian one. A statistical criterion is proposed for controlling the degree of
smoothing of the empirical values of volatility. The hypothesis of smooth,
non-stochastic nature of volatility is put forward, and possible causes of
volatility shifts are discussed.
"
1001.4031	q-fin	q-fin.CP math.PR q-fin.PR	"Is the minimum value of an option on variance generated by local
  volatility?"	"  We discuss the possibility of obtaining model-free bounds on volatility
derivatives, given present market data in the form of a calibrated local
volatility model. A counter-example to a wide-spread conjecture is given.
"
1002.2281	q-fin	q-fin.GN	Regulation Simulation	"  A deterministic trading strategy by a representative investor on a single
market asset, which generates complex and realistic returns with its first four
moments similar to the empirical values of European stock indices, is used to
simulate the effects of financial regulation that either pricks bubbles, props
up crashes, or both. The results suggest that regulation makes the market
process appear more Gaussian and less complex, with the difference more
pronounced for more frequent intervention, though particular periods can be
worse than the non-regulated version, and that pricking bubbles and propping up
crashes are not symmetrical.
"
1002.2282	q-fin	q-fin.GN q-fin.PM q-fin.RM	The Hazards of Propping Up: Bubbles and Chaos	"  In the current environment of financial distress, many governments are likely
to soon become major holders of financial assets, but the policy debate focuses
only on the likelihood and extent of short-term market stabilization. This
paper shows that government intervention and propping up are likely to lead to
long-term bubbles and even wildly chaotic behavior. The discontinuities occur
when the committed capital reaches a critical amount that depends on just two
parameters: the market impact of trading and the target exposure percentage.
"
1002.2604	q-fin	q-fin.RM	"The two defaults scenario for stressing credit portfolio loss
  distributions"	"  The impact of a stress scenario of default events on the loss distribution of
a credit portfolio can be assessed by determining the loss distribution
conditional on these events. While it is conceptually easy to estimate loss
distributions conditional on default events by means of Monte Carlo simulation,
it becomes impractical for two or more simultaneous defaults as then the
conditioning event is extremely rare. We provide an analytical approach to the
calculation of the conditional loss distribution for the CreditRisk+ portfolio
model with independent random loss given default distributions. The analytical
solution for this case can be used to check the accuracy of an approximation to
the conditional loss distribution whereby the unconditional model is run with
stressed input probabilities of default (PDs). It turns out that this
approximation is unbiased. Numerical examples, however, suggest that the
approximation may be seriously inaccurate but that the inaccuracy leads to
overestimation of tail losses and hence the approach errs on the conservative
side.
"
1003.0793	q-fin	q-fin.GN nlin.CG	"Boolean delay equations on networks: An application to economic damage
  propagation"	"  We introduce economic models based on Boolean Delay Equations: this formalism
makes easier to take into account the complexity of the interactions between
firms and is particularly appropriate for studying the propagation of an
initial damage due to a catastrophe. Here we concentrate on simple cases, which
allow to understand the effects of multiple concurrent production paths as well
as the presence of stochasticity in the path time lengths or in the network
structure.
  In absence of flexibility, the shortening of production of a single firm in
an isolated network with multiple connections usually ends up by attaining a
finite fraction of the firms or the whole economy, whereas the interactions
with the outside allow a partial recovering of the activity, giving rise to
periodic solutions with waves of damage which propagate across the structure.
The damage propagation speed is strongly dependent upon the topology. The
existence of multiple concurrent production paths does not necessarily imply a
slowing down of the propagation, which can be as fast as the shortest path.
"
1005.0279	q-fin	q-fin.GN math.PR	Rough paths in idealized financial markets	"  This paper considers possible price paths of a financial security in an
idealized market. Its main result is that the variation index of typical price
paths is at most 2, in this sense, typical price paths are not rougher than
typical paths of Brownian motion. We do not make any stochastic assumptions and
only assume that the price path is positive and right-continuous. The
qualification ""typical"" means that there is a trading strategy (constructed
explicitly in the proof) that risks only one monetary unit but brings infinite
capital when the variation index of the realized price path exceeds 2. The
paper also reviews some known results for continuous price paths and lists
several open problems.
"
1005.3518	q-fin	q-fin.GN	"Inequality reversal: effects of the savings propensity and correlated
  returns"	"  In the last decade, a large body of literature has been developed to explain
the universal features of inequality in terms of income and wealth. By now, it
is established that the distributions of income and wealth in various economies
show a number of statistical regularities. There are several models to explain
such static features of inequality in an unifying framework and the kinetic
exchange models, in particular, provide one such framework. Here we focus on
the dynamic features of inequality. In the process of development and growth,
inequality in an economy in terms of income and wealth follows a particular
pattern of rising in the initial stage followed by an eventual fall. This
inverted U-shaped curve is known as the Kuznets Curve. We examine the
possibilities of such behavior of an economy in the context of a generalized
kinetic exchange model. It is shown that under some specific conditions, our
model economy indeed shows inequality reversal.
"
1008.3746	q-fin	q-fin.PM cond-mat.stat-mech cs.LG math.OC q-fin.RM	Belief Propagation Algorithm for Portfolio Optimization Problems	"  The typical behavior of optimal solutions to portfolio optimization problems
with absolute deviation and expected shortfall models using replica analysis
was pioneeringly estimated by S. Ciliberti and M. M\'ezard [Eur. Phys. B. 57,
175 (2007)]; however, they have not yet developed an approximate derivation
method for finding the optimal portfolio with respect to a given return set. In
this study, an approximation algorithm based on belief propagation for the
portfolio optimization problem is presented using the Bethe free energy
formalism, and the consistency of the numerical experimental results of the
proposed algorithm with those of replica analysis is confirmed. Furthermore,
the conjecture of H. Konno and H. Yamazaki, that the optimal solutions with the
absolute deviation model and with the mean-variance model have the same typical
behavior, is verified using replica analysis and the belief propagation
algorithm.
"
1009.3247	q-fin	math.OC math.PR q-fin.RM	Optimal control of risk process in a regime-switching environment	"  This paper is concerned with cost optimization of an insurance company. The
surplus of the insurance company is modeled by a controlled regime switching
diffusion, where the regime switching mechanism provides the fluctuations of
the random environment. The goal is to find an optimal control that minimizes
the total cost up to a stochastic exit time. A weaker sufficient condition than
that of (Fleming and Soner 2006, Section V.2) for the continuity of the value
function is obtained. Further, the value function is shown to be a viscosity
solution of a Hamilton-Jacobian-Bellman equation.
"
1010.5810	q-fin	q-fin.RM	Quantile hedging for basket derivatives	"  The problem of quantile hedging for basket derivatives in the Black-Scholes
model with correlation is considered. Explicit formulas for the probability
maximizing function and the cost reduction function are derived. Applicability
of the results for the widely traded derivatives as digital, quantos,
outperformance and spread options is shown.
"
1102.3928	q-fin	math.OC q-fin.RM	Integral representations of risk functions for basket derivatives	"  The risk minimizing problem
$\mathbf{E}[l((H-X_T^{x,\pi})^{+})]\overset{\pi}{\longrightarrow}\min$ in the
multidimensional Black-Scholes framework is studied. Specific formulas for the
minimal risk function and the cost reduction function for basket derivatives
are shown. Explicit integral representations for the risk functions for
$l(x)=x$ and $l(x)=x^p$, with $p>1$ for digital, quantos, outperformance and
spread options are derived.
"
1104.5326	q-fin	math.ST q-fin.CP q-fin.ST stat.TH	Density Approximations for Multivariate Affine Jump-Diffusion Processes	"  We introduce closed-form transition density expansions for multivariate
affine jump-diffusion processes. The expansions rely on a general approximation
theory which we develop in weighted Hilbert spaces for random variables which
possess all polynomial moments. We establish parametric conditions which
guarantee existence and differentiability of transition densities of affine
models and show how they naturally fit into the approximation framework.
Empirical applications in credit risk, likelihood inference, and option pricing
highlight the usefulness of our expansions. The approximations are extremely
fast to evaluate, and they perform very accurately and numerically stable.
"
1106.1774	q-fin	math.DG q-fin.CP	Fibrations of financial events	"  In this paper we shall prove that the plane of financial events, introduced
and applied to financial problems by the author himself (see [2], [3] and [4])
can be considered as a fibration in two different ways. The first one, the
natural one, reveals itself to be isomorphic to the tangent- bundle of the real
line, when the last one is considered as a differentiable manifold in the
natural way; the second one is a fibration induced by the status of compound
interest capitalization at a given rate i in the interval ] - 1, \rightarrow [.
Moreover, in the paper we define on the first fibration an affine connection,
also in this case induced by the status of compound interest at a given rate i.
The final goal of this paper is the awareness that all the effects determined
by the status of compound interest are nothing but the consequences of the fact
that the space of financial events is a fibration endowed with a particular
affine connection, so they are consequences of purely geometric properties, at
last, depending upon the curvature determined by the connection upon the
fibration. A natural preorder upon the set of fibers of the second fibration is
considered. Some remarks about the applicability to economics and finance of
the theories presented in the paper and about the possible developments are
made in the directions followed in papers [1], [5], [6], [7], [8] of the
author.
"
1106.2781	q-fin	math.OC cs.SY math.PR q-fin.RM	"Optimal Dividend Payments for the Piecewise-Deterministic Poisson Risk
  Model"	"  This paper considers the optimal dividend payment problem in
piecewise-deterministic compound Poisson risk models. The objective is to
maximize the expected discounted dividend payout up to the time of ruin. We
provide a comparative study in this general framework of both restricted and
unrestricted payment schemes, which were only previously treated separately in
certain special cases of risk models in the literature. In the case of
restricted payment scheme, the value function is shown to be a classical
solution of the corresponding HJB equation, which in turn leads to an optimal
restricted payment policy known as the threshold strategy. In the case of
unrestricted payment scheme, by solving the associated integro-differential
quasi-variational inequality, we obtain the value function as well as an
optimal unrestricted dividend payment scheme known as the barrier strategy.
When claim sizes are exponentially distributed, we provide easily verifiable
conditions under which the threshold and barrier strategies are optimal
restricted and unrestricted dividend payment policies, respectively. The main
results are illustrated with several examples, including a new example
concerning regressive growth rates.
"
1107.4632	q-fin	q-fin.RM math.PR q-fin.GN	From Smile Asymptotics to Market Risk Measures	"  The left tail of the implied volatility skew, coming from quotes on
out-of-the-money put options, can be thought to reflect the market's assessment
of the risk of a huge drop in stock prices. We analyze how this market
information can be integrated into the theoretical framework of convex monetary
measures of risk. In particular, we make use of indifference pricing by dynamic
convex risk measures, which are given as solutions of backward stochastic
differential equations (BSDEs), to establish a link between these two
approaches to risk measurement. We derive a characterization of the implied
volatility in terms of the solution of a nonlinear PDE and provide a small
time-to-maturity expansion and numerical solutions. This procedure allows to
choose convex risk measures in a conveniently parametrized class, distorted
entropic dynamic risk measures, which we introduce here, such that the
asymptotic volatility skew under indifference pricing can be matched with the
market skew. We demonstrate this in a calibration exercise to market implied
volatility data.
"
1109.2557	q-fin	q-fin.CP math.NA math.PR q-fin.PR	Numerical integration of Heath-Jarrow-Morton model of interest rates	"  We propose and analyze numerical methods for the Heath-Jarrow-Morton (HJM)
model. To construct the methods, we first discretize the infinite dimensional
HJM equation in maturity time variable using quadrature rules for approximating
the arbitrage-free drift. This results in a finite dimensional system of
stochastic differential equations (SDEs) which we approximate in the weak and
mean-square sense using the general theory of numerical integration of SDEs.
The proposed numerical algorithms are computationally highly efficient due to
the use of high-order quadrature rules which allow us to take relatively large
discretization steps in the maturity time without affecting overall accuracy of
the algorithms. Convergence theorems for the methods are proved. Results of
some numerical experiments with European-type interest rate derivatives are
presented.
"
1109.3908	q-fin	q-fin.PM q-fin.PR	Forward Exponential Performances: Pricing and Optimal Risk Sharing	"  In a Markovian stochastic volatility model, we consider financial agents
whose investment criteria are modelled by forward exponential performance
processes. The problem of contingent claim indifference valuation is first
addressed and a number of properties are proved and discussed. Special
attention is given to the comparison between the forward exponential and the
backward exponential utility indifference valuation. In addition, we construct
the problem of optimal risk sharing in this forward setting and solve it when
the agents' forward performance criteria are exponential.
"
1109.6909	q-fin	q-fin.GN physics.soc-ph	Pricing stocks with yardsticks and sentiments	"  Human decision making by professionals trading daily in the stock market can
be a daunting task. It includes decisions on whether to keep on investing or to
exit a market subject to huge price swings, and how to price in news or rumors
attributed to a specific stock. The question then arises how professional
traders, who specialize in daily buying and selling large amounts of a given
stock, know how to properly price a given stock on a given day? Here we
introduce the idea that people use heuristics, or ""rules of thumb"", in terms of
""yard sticks"" from the performance of the other stocks in a stock index. The
under- /over-performance with respect to such a yard stick then signifies a
general negative/positive sentiment of the market participants towards a given
stock. Using empirical data of the Dow Jones Industrial Average, stocks are
shown to have daily performances with a clear tendency to cluster around the
measures introduced by the yard sticks. We illustrate how sentiments, most
likely due to insider information, can influence the performance of a given
stock over period of months, and in one case years.
"
1110.5144	q-fin	q-fin.CP math.OC	Computing Economic Equilibria by a Homotopy Method	"  In this paper the possibility of computing equilibrium in pure exchange and
production economies by a homotopy method is investigated. The performance of
the algorithm is tested on examples with known equilibria taken from the
literature on general equilibrium models and numerical results are presented.
In computing equilibria, economy will be specified by excess demand function.
"
1110.5594	q-fin	math.AP math.PR q-fin.CP q-fin.PR	"Boundary-degenerate elliptic operators and Holder continuity for
  solutions to variational equations and inequalities"	"  The Heston stochastic volatility process, which is widely used as an asset
price model in mathematical finance, is a paradigm for a degenerate diffusion
process where the degeneracy in the diffusion coefficient is proportional to
the square root of the distance to the boundary of the half-plane. The
generator of this process with killing, called the elliptic Heston operator, is
a second-order, degenerate-elliptic partial differential operator whose
coefficients have linear growth in the spatial variables and where the
degeneracy in the operator symbol is proportional to the distance to the
boundary of the half-plane. With the aid of weighted Sobolev spaces, we prove
supremum bounds, a Harnack inequality, and H\""older continuity near the
boundary for solutions to variational equations defined by the elliptic Heston
operator, as well as H\""older continuity up to the boundary for solutions to
variational inequalities defined by the elliptic Heston operator. In
mathematical finance, solutions to obstacle problems for the elliptic Heston
operator correspond to value functions for perpetual American-style options on
the underlying asset.
"
1112.1652	q-fin	q-fin.PR	"Asymptotic Expansions of the Lognormal Implied Volatility : A Model Free
  Approach"	"  We invert the Black-Scholes formula. We consider the cases low strike, large
strike, short maturity and large maturity. We give explicitly the first 5 terms
of the expansions. A method to compute all the terms by induction is also
given. At the money, we have a closed form formula for implied lognormal
volatility in terms of a power series in call price.
"
1112.3217	q-fin	q-fin.GN	Pseudo Hermitian formulation of Black-Scholes equation	"  We show that the non Hermitian Black-Scholes Hamiltonian and its various
generalizations are eta-pseudo Hermitian. The metric operator eta is explicitly
constructed for this class of Hamitonians. It is also shown that the effective
Black-Scholes Hamiltonian and its partner form a pseudo supersymmetric system.
"
1112.4824	q-fin	math.AP math.PR q-fin.CP q-fin.PR	"A Schauder approach to degenerate-parabolic partial differential
  equations with unbounded coefficients"	"  Motivated by applications to probability and mathematical finance, we
consider a parabolic partial differential equation on a half-space whose
coefficients are suitably Holder continuous and allowed to grow linearly in the
spatial variable and which become degenerate along the boundary of the
half-space. We establish existence and uniqueness of solutions in weighted
Holder spaces which incorporate both the degeneracy at the boundary and the
unboundedness of the coefficients. In our companion article [arXiv:1211.4636],
we apply the main result of this article to show that the martingale problem
associated with a degenerate-elliptic partial differential operator is
well-posed in the sense of Stroock and Varadhan.
"
1201.3432	q-fin	physics.soc-ph physics.data-an q-fin.GN	The leading digit distribution of the worldwide Illicit Financial Flows	"  Benford's law states that in data sets from different phenomena leading
digits tend to be distributed logarithmically such that the numbers beginning
with smaller digits occur more often than those with larger ones. Particularly,
the law is known to hold for different types of financial data. The Illicit
Financial Flows (IFFs) exiting the developing countries are frequently
discussed as hidden resources which could have been otherwise properly utilized
for their development. We investigate here the distribution of the leading
digits in the recent data on estimates of IFFs to look for the existence of a
pattern as predicted by Benford's law and establish that the frequency of
occurrence of the leading digits in these estimates does closely follow the
law.
"
1202.0100	q-fin	q-fin.ST	"The Evolution of Stock Market Efficiency in the US: A Non-Bayesian
  Time-Varying Model Approach"	"  A non-Bayesian time-varying model is developed by introducing the concept of
the degree of market efficiency that varies over time. This model may be seen
as a reflection of the idea that continuous technological progress alters the
trading environment over time. With new methodologies and a new measure of the
degree of market efficiency, we examine whether the US stock market evolves
over time. In particular, a time-varying autoregressive (TV-AR) model is
employed. Our main findings are: (i) the US stock market has evolved over time
and the degree of market efficiency has cyclical fluctuations with a
considerably long periodicity, from 30 to 40 years; and (ii) the US stock
market has been efficient with the exception of four times in our sample
period: during the long-recession of 1873-1879; the recession of 1902-1904; the
New Deal era; and the recession of 1957-1958 and soon after it. It is then
shown that our results are partly consistent with the view of behavioral
finance.
"
1202.6632	q-fin	q-fin.GN	Coherent Price Systems and Uncertainty-Neutral Valuation	"  We consider fundamental questions of arbitrage pricing arising when the
uncertainty model is given by a set of possible mutually singular probability
measures. With a single probability model, essential equivalence between the
absence of arbitrage and the existence of an equivalent martingale measure is a
folk theorem, see Harrison and Kreps (1979). We establish a microeconomic
foundation of sublinear price systems and present an extension result. In this
context we introduce a prior dependent notion of marketed spaces and viable
price systems. We associate this extension with a canonically altered concept
of equivalent symmetric martingale measure sets, in a dynamic trading framework
under absence of prior depending arbitrage. We prove the existence of such sets
when volatility uncertainty is modeled by a stochastic differential equation,
driven by Peng's G-Brownian motions.
"
1203.6877	q-fin	math.PR q-fin.CP	The maximum maximum of a martingale with given $n$ marginals	"  We obtain bounds on the distribution of the maximum of a martingale with
fixed marginals at finitely many intermediate times. The bounds are sharp and
attained by a solution to $n$-marginal Skorokhod embedding problem in
Ob{\l}\'oj and Spoida [An iterated Az\'ema-Yor type embedding for finitely many
marginals (2013) Preprint]. It follows that their embedding maximizes the
maximum among all other embeddings. Our motivating problem is superhedging
lookback options under volatility uncertainty for an investor allowed to
dynamically trade the underlying asset and statically trade European call
options for all possible strikes and finitely-many maturities. We derive a
pathwise inequality which induces the cheapest superhedging value, which
extends the two-marginals pathwise inequality of Brown, Hobson and Rogers
[Probab. Theory Related Fields 119 (2001) 558-578]. This inequality, proved by
elementary arguments, is derived by following the stochastic control approach
of Galichon, Henry-Labord\`ere and Touzi [Ann. Appl. Probab. 24 (2014)
312-336].
"
1204.2065	q-fin	q-fin.GN math.OC	Toehold Purchase Problem: A comparative analysis of two strategies	"  Toehold purchase, defined here as purchase of one share in a firm by an
investor preparing a tender offer to acquire majority of shares in it, reduces
by one the number of shares this investor needs for majority. In the paper we
construct mathematical models for the toehold and no-toehold strategies and
compare the expected profits of the investor and the probabilities of takeover
the firm in both strategies. It turns out that the expected profits of the
investor in both strategies coincide. On the other hand, the probability of
takeover the firm using the toehold strategy is considerably higher comparing
to the no-toehold strategy. In the analysis of the models we apply the
apparatus of incomplete Beta functions and some refined bounds for central
binomial coefficients.
"
1204.6613	q-fin	math.AP math.PR q-fin.PR	"Maximum principles for boundary-degenerate second-order linear elliptic
  differential operators"	"  We prove weak and strong maximum principles, including a Hopf lemma, for
smooth subsolutions to equations defined by linear, second-order, partial
differential operators whose principal symbols vanish along a portion of the
domain boundary. The boundary regularity property of the smooth subsolutions
along this boundary vanishing locus ensures that these maximum principles hold
irrespective of the sign of the Fichera function. Boundary conditions need only
be prescribed on the complement in the domain boundary of the principal symbol
vanishing locus. We obtain uniqueness and a priori maximum principle estimates
for smooth solutions to boundary value and obstacle problems defined by these
boundary-degenerate elliptic operators for partial Dirichlet or Neumann
boundary conditions along the complement of the boundary vanishing locus. We
also prove weak maximum principles and uniqueness for solutions to the
corresponding variational equations and inequalities defined with the aide of
weighted Sobolev spaces. The domain is allowed to be unbounded when the
operator coefficients and solutions obey certain growth conditions.
"
1205.3555	q-fin	q-fin.CP math.PR	Approximating stochastic volatility by recombinant trees	"  A general method to construct recombinant tree approximations for stochastic
volatility models is developed and applied to the Heston model for stock price
dynamics. In this application, the resulting approximation is a four tuple
Markov process. The first two components are related to the stock and
volatility processes and take values in a two-dimensional binomial tree. The
other two components of the Markov process are the increments of random walks
with simple values in $\{-1,+1\}$. The resulting efficient option pricing
equations are numerically implemented for general American and European options
including the standard put and calls, barrier, lookback and Asian-type
pay-offs. The weak and extended weak convergences are also proved.
"
1206.0384	q-fin	q-fin.GN	The Effect of Market Power on Risk-Sharing	"  The paper studies an oligopolistic equilibrium model of financial agents who
aim to share their random endowments. The risk-sharing securities and their
prices are endogenously determined as the outcome of a strategic game played
among all the participating agents. In the complete-market setting, each
agent's set of strategic choices consists of the security payoffs and the
pricing kernel that are consistent with the optimal-sharing rules; while in the
incomplete setting, agents respond via demand functions on a vector of given
tradeable securities. It is shown that at the (Nash) risk-sharing equilibrium,
the sharing securities are suboptimal, since agents submit for sharing
different risk exposures than their true endowments. On the other hand, the
Nash equilibrium prices stay unaffected by the game only in the special case of
agents with the same risk aversion. In addition, agents with sufficiently lower
risk aversion act as predatory traders, since they absorb utility surplus from
the high risk averse agents and reduce the efficiency of sharing. The main
results of the paper also hold under the generalized models that allow the
presence of noise traders and heterogeneity in agents' beliefs.
"
1206.0831	q-fin	math.AP math.PR q-fin.CP q-fin.PR	C^{1,1} regularity for degenerate elliptic obstacle problems	"  The Heston stochastic volatility process is a degenerate diffusion process
where the degeneracy in the diffusion coefficient is proportional to the square
root of the distance to the boundary of the half-plane. The generator of this
process with killing, called the elliptic Heston operator, is a second-order,
degenerate-elliptic partial differential operator, where the degeneracy in the
operator symbol is proportional to the distance to the boundary of the
half-plane. In mathematical finance, solutions to the obstacle problem for the
elliptic Heston operator correspond to value functions for perpetual
American-style options on the underlying asset. With the aid of weighted
Sobolev spaces and weighted Holder spaces, we establish the optimal $C^{1,1}$
regularity (up to the boundary of the half-plane) for solutions to obstacle
problems for the elliptic Heston operator when the obstacle functions are
sufficiently smooth.
"
1207.1842	q-fin	q-fin.ST	"A Test of the Adaptive Market Hypothesis using a Time-Varying AR Model
  in Japan"	"  This study examines the adaptive market hypothesis (AMH) in Japanese stock
markets (TOPIX and TSE2). In particular, we measure the degree of market
efficiency by using a time-varying model approach. The empirical results show
that (1) the degree of market efficiency changes over time in the two markets,
(2) the level of market efficiency of the TSE2 is lower than that of the TOPIX
in most periods, and (3) the market efficiency of the TOPIX has evolved, but
that of the TSE2 has not. We conclude that the results support the AMH for the
more qualified stock market in Japan.
"
1208.3083	q-fin	q-fin.TR math-ph math.MP math.PR	"Investor's sentiment in multi-agent model of the continuous double
  auction"	"  We introduce and treat rigorously a new multi-agent model of the continuous
double auction or in other words the order book (OB). It is designed to explain
collective behaviour of the market when new information affecting the market
arrives. The novel feature of the model is two additional slow changing
parameters, the so-called sentiment functions. These sentiment functions
measure the conception of the fair price of two groups of investors, namely,
bulls and bears. Our model specifies differential equations for the time
evolution of sentiment functions and constitutes a nonlinear Markov process
which exhibits long term correlations. We explain the intuition behind
equations for sentiment functions and present numerical simulations which show
that the behaviour of our model is similar to the behaviour of the real market.
We also obtain a diffusion limit of the model, the Ornstein-Uhlenbeck type
process with variable volatility. The volatility is proportional to the
difference of opinions of bulls and bears about the fair price of a security.
The paper is complimentary to our previous work where mathematical proofs are
presented.
"
1209.1544	q-fin	q-fin.ST math.ST stat.ME stat.TH	On Geometric Ergodicity of Skewed - SVCHARME models	"  Markov Chain Monte Carlo is repeatedly used to analyze the properties of
intractable distributions in a convenient way. In this paper we derive
conditions for geometric ergodicity of a general class of nonparametric
stochastic volatility models with skewness driven by hidden Markov Chain with
switching.
"
1209.4849	q-fin	q-fin.GN physics.soc-ph	Iterated Function Systems with Economic Applications	"  This work's purpose is to understand the dynamics of some social systems
whose properties can be captured by certain iterated function systems. To
achieve this intension, we start from the theory of iterated function systems,
and then we study two specific economic models on random utility function and
optimal stochastic growth.
"
